Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
polyuria,obesity,weight_loss,belly_pain,lethargy,excessive_hunger,increased_appetite,blurred_and_distorted_vision,fatigue,,,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,weight_loss,lethargy,excessive_hunger,bladder_discomfort,increased_appetite,fatigue,,,,,,,,,diabetes
irregular_sugar_level,polyuria,weight_loss,lethargy,restlessness,excessive_hunger,blurred_and_distorted_vision,fatigue,headache,,,,,,,,,diabetes
irregular_sugar_level,polyuria,obesity,weight_loss,lethargy,restlessness,redness_of_eyes,increased_appetite,fatigue,,,,,,,,,diabetes
sunken_eyes,diarrhoea,bloody_stool,vomiting,nausea,,,,,,,,,,,,,gastroenteritis
dehydration,diarrhoea,knee_pain,,,,,,,,,,,,,,,gastroenteritis
dehydration,weakness_in_limbs,vomiting,,,,,,,,,,,,,,,gastroenteritis
diarrhoea,breathlessness,vomiting,headache,,,,,,,,,,,,,,gastroenteritis
dehydration,receiving_blood_transfusion,vomiting,,,,,,,,,,,,,,,gastroenteritis
weakness_in_limbs,mucoid_sputum,breathlessness,high_fever,family_history,fatigue,,,,,,,,,,,,bronchial asthma
mucoid_sputum,breathlessness,cough,painful_walking,family_history,,,,,,,,,,,,,bronchial asthma
mucoid_sputum,chest_pain,breathlessness,high_fever,fatigue,,,,,,,,,,,,,bronchial asthma
breathlessness,cough,blackheads,family_history,fatigue,nausea,,,,,,,,,,,,bronchial asthma
mucoid_sputum,high_fever,family_history,fatigue,extra_marital_contacts,,,,,,,,,,,,,bronchial asthma
yellow_crust_ooze,mucoid_sputum,breathlessness,cough,fatigue,,,,,,,,,,,,,bronchial asthma
breathlessness,cough,high_fever,family_history,inflammatory_nails,headache,,,,,,,,,,,,bronchial asthma
loss_of_balance,headache,lack_of_concentration,chest_pain,cramps,,,,,,,,,,,,,hypertension
dizziness,lack_of_concentration,chest_pain,indigestion,,,,,,,,,,,,,,hypertension
dizziness,loss_of_balance,diarrhoea,headache,,,,,,,,,,,,,,hypertension
lack_of_concentration,internal_itching,chest_pain,headache,,,,,,,,,,,,,,hypertension
dizziness,blister,chest_pain,headache,headache,,,,,,,,,,,,,hypertension
dizziness,loss_of_balance,headache,prominent_veins_on_calf,,,,,,,,,,,,,,hypertension
headache,indigestion,excessive_hunger,stiff_neck,acidity,depression,visual_disturbances,blurred_and_distorted_vision,puffy_face_and_eyes,,,,,,,,,migraine
headache,indigestion,excessive_hunger,stiff_neck,irritability,depression,visual_disturbances,inflammatory_nails,,,,,,,,,,migraine
headache,mucoid_sputum,excessive_hunger,stiff_neck,acidity,irritability,depression,blurred_and_distorted_vision,nausea,,,,,,,,,migraine
indigestion,excessive_hunger,stiff_neck,acidity,irritability,depression,visual_disturbances,inflammatory_nails,fatigue,,,,,,,,,migraine
headache,indigestion,excessive_hunger,dizziness,acidity,irritability,depression,visual_disturbances,,,,,,,,,,migraine
headache,indigestion,acidity,irritability,depression,visual_disturbances,blurred_and_distorted_vision,neck_pain,,,,,,,,,,migraine
headache,indigestion,excessive_hunger,depression,irritability,visual_disturbances,blurred_and_distorted_vision,nausea,,,,,,,,,,migraine
headache,indigestion,excessive_hunger,stiff_neck,acidity,shivering,visual_disturbances,blurred_and_distorted_vision,,,,,,,,,,migraine
headache,indigestion,stiff_neck,acidity,depression,visual_disturbances,skin_rash,blurred_and_distorted_vision,,,,,,,,,,migraine
headache,pain_during_bowel_movements,excessive_hunger,stiff_neck,acidity,irritability,depression,blurred_and_distorted_vision,,,,,,,,,,migraine
loss_of_balance,blister,weakness_in_limbs,back_pain,neck_pain,vomiting,,,,,,,,,,,,cervical spondylosis
dizziness,weakness_in_limbs,neck_pain,puffy_face_and_eyes,headache,,,,,,,,,,,,,cervical spondylosis
dizziness,loss_of_balance,enlarged_thyroid,neck_pain,,,,,,,,,,,,,,cervical spondylosis
dizziness,loss_of_balance,distention_of_abdomen,weakness_in_limbs,,,,,,,,,,,,,,cervical spondylosis
loss_of_balance,back_pain,weakness_in_limbs,vomiting,,,,,,,,,,,,,,cervical spondylosis
dizziness,headache,weakness_in_limbs,neck_pain,,,,,,,,,,,,,,cervical spondylosis
altered_sensorium,throat_irritation,headache,vomiting,,,,,,,,,,,,,,paralysis (brain hemorrhage)
altered_sensorium,movement_stiffness,weakness_of_one_body_side,headache,,,,,,,,,,,,,,paralysis (brain hemorrhage)
muscle_wasting,weakness_of_one_body_side,vomiting,,,,,,,,,,,,,,,paralysis (brain hemorrhage)
mucoid_sputum,altered_sensorium,vomiting,fatigue,,,,,,,,,,,,,,paralysis (brain hemorrhage)
skin_peeling,headache,vomiting,vomiting,,,,,,,,,,,,,,paralysis (brain hemorrhage)
weight_loss,yellowish_skin,sunken_eyes,dark_urine,itching,high_fever,fatigue,abdominal_pain,,,,,,,,,,jaundice
weight_loss,yellowish_skin,dark_urine,high_fever,family_history,fatigue,vomiting,fatigue,,,,,,,,,,jaundice
blood_in_sputum,weight_loss,dark_urine,itching,high_fever,fatigue,abdominal_pain,,,,,,,,,,,jaundice
pus_filled_pimples,weight_loss,yellowish_skin,vomiting,itching,high_fever,abdominal_pain,headache,,,,,,,,,,jaundice
yellowish_skin,excessive_hunger,dark_urine,high_fever,abdominal_pain,fatigue,vomiting,,,,,,,,,,,jaundice
weight_loss,yellowish_skin,vomiting,dark_urine,mild_fever,fatigue,abdominal_pain,,,,,,,,,,,jaundice
weight_loss,dark_urine,spinning_movements,itching,abdominal_pain,fatigue,vomiting,,,,,,,,,,,jaundice
weight_loss,yellowish_skin,vomiting,itching,nausea,fatigue,abdominal_pain,fatigue,,,,,,,,,,jaundice
weight_loss,joint_pain,dark_urine,itching,high_fever,fatigue,vomiting,,,,,,,,,,,jaundice
chills,muscle_pain,headache,vomiting,throat_irritation,high_fever,sweating,,,,,,,,,,,malaria
muscle_pain,headache,pain_during_bowel_movements,diarrhoea,high_fever,nausea,sweating,vomiting,,,,,,,,,,malaria
muscle_pain,headache,patches_in_throat,diarrhoea,nausea,sweating,vomiting,,,,,,,,,,,malaria
chills,headache,diarrhoea,high_fever,continuous_sneezing,nausea,sweating,,,,,,,,,,,malaria
chills,muscle_pain,headache,unsteadiness,diarrhoea,nausea,sweating,,,,,,,,,,,malaria
chills,loss_of_appetite,muscle_pain,headache,diarrhoea,nausea,vomiting,fatigue,,,,,,,,,,malaria
chills,muscle_pain,weight_loss,diarrhoea,high_fever,nausea,vomiting,,,,,,,,,,,malaria
muscle_pain,headache,vomiting,mucoid_sputum,diarrhoea,high_fever,sweating,,,,,,,,,,,malaria
loss_of_appetite,headache,lethargy,red_spots_over_body,swelled_lymph_nodes,malaise,itching,high_fever,mild_fever,fatigue,coma,,,,,,,chicken pox
loss_of_appetite,lethargy,red_spots_over_body,swelled_lymph_nodes,malaise,high_fever,mild_fever,skin_rash,nausea,fatigue,,,,,,,,chicken pox
loss_of_appetite,headache,red_spots_over_body,swelled_lymph_nodes,malaise,itching,high_fever,yellowing_of_eyes,mild_fever,fatigue,,,,,,,,chicken pox
loss_of_appetite,headache,red_spots_over_body,swelled_lymph_nodes,prominent_veins_on_calf,malaise,itching,high_fever,mild_fever,skin_rash,,,,,,,,chicken pox
loss_of_appetite,headache,anxiety,red_spots_over_body,swelled_lymph_nodes,malaise,itching,high_fever,mild_fever,skin_rash,headache,,,,,,,chicken pox
loss_of_appetite,headache,lethargy,red_spots_over_body,prominent_veins_on_calf,malaise,itching,mild_fever,skin_rash,fatigue,vomiting,,,,,,,chicken pox
loss_of_appetite,red_spots_over_body,swelled_lymph_nodes,malaise,itching,high_fever,mild_fever,skin_rash,increased_appetite,fatigue,,,,,,,,chicken pox
headache,lethargy,red_spots_over_body,swelled_lymph_nodes,malaise,itching,high_fever,skin_rash,fatigue,ulcers_on_tongue,,,,,,,,chicken pox
loss_of_appetite,headache,lethargy,red_spots_over_body,bloody_stool,malaise,itching,high_fever,skin_rash,fatigue,,,,,,,,chicken pox
loss_of_appetite,headache,lethargy,red_spots_over_body,knee_pain,malaise,high_fever,mild_fever,skin_rash,fatigue,,,,,,,,chicken pox
chills,swelling_joints,loss_of_appetite,muscle_pain,back_pain,headache,red_spots_over_body,joint_pain,high_fever,skin_rash,nausea,vomiting,nausea,,,,,dengue
chills,pain_behind_the_eyes,loss_of_appetite,headache,back_pain,red_spots_over_body,joint_pain,high_fever,yellowing_of_eyes,skin_rash,nausea,fatigue,vomiting,,,,,dengue
chills,loss_of_appetite,muscle_pain,headache,joint_pain,malaise,high_fever,skin_rash,increased_appetite,nausea,fatigue,vomiting,,,,,,dengue
chills,pain_behind_the_eyes,loss_of_appetite,muscle_pain,back_pain,headache,red_spots_over_body,joint_pain,malaise,dizziness,high_fever,nausea,fatigue,,,,,dengue
chills,loss_of_appetite,pain_behind_the_eyes,muscle_pain,headache,back_pain,red_spots_over_body,malaise,bladder_discomfort,nausea,fatigue,vomiting,headache,,,,,dengue
loss_of_appetite,pain_behind_the_eyes,back_pain,headache,red_spots_over_body,patches_in_throat,joint_pain,malaise,high_fever,skin_rash,nausea,vomiting,,,,,,dengue
chills,loss_of_appetite,pain_behind_the_eyes,headache,back_pain,red_spots_over_body,malaise,high_fever,skin_rash,nausea,spotting__urination,fatigue,vomiting,headache,,,,dengue
chills,loss_of_appetite,pain_behind_the_eyes,muscle_pain,back_pain,headache,joint_pain,malaise,altered_sensorium,high_fever,skin_rash,fatigue,,,,,,dengue
loss_of_appetite,pain_behind_the_eyes,muscle_pain,headache,back_pain,red_spots_over_body,joint_pain,high_fever,yellowing_of_eyes,skin_rash,nausea,vomiting,,,,,,dengue
chills,pain_behind_the_eyes,loss_of_appetite,back_pain,headache,red_spots_over_body,joint_pain,malaise,high_fever,skin_rash,nausea,fatigue,vomiting,,,,,dengue
chills,belly_pain,movement_stiffness,toxic_look_(typhos),diarrhoea,high_fever,abdominal_pain,nausea,fatigue,vomiting,,,,,,,,typhoid
chills,constipation,belly_pain,headache,toxic_look_(typhos),pain_during_bowel_movements,diarrhoea,high_fever,fatigue,abdominal_pain,,,,,,,,typhoid
chills,pain_in_anal_region,headache,belly_pain,vomiting,toxic_look_(typhos),diarrhoea,high_fever,nausea,abdominal_pain,,,,,,,,typhoid
chills,constipation,headache,belly_pain,toxic_look_(typhos),malaise,high_fever,nausea,fatigue,vomiting,,,,,,,,typhoid
chills,constipation,belly_pain,headache,toxic_look_(typhos),high_fever,nausea,distention_of_abdomen,fatigue,vomiting,,,,,,,,typhoid
chills,headache,belly_pain,foul_smell_of_urine,diarrhoea,high_fever,abdominal_pain,nausea,fatigue,vomiting,,,,,,,,typhoid
chills,constipation,headache,vomiting,diarrhoea,high_fever,nausea,distention_of_abdomen,fatigue,abdominal_pain,,,,,,,,typhoid
chills,constipation,headache,belly_pain,silver_like_dusting,toxic_look_(typhos),diarrhoea,high_fever,abdominal_pain,fatigue,vomiting,nausea,,,,,,typhoid
chills,constipation,headache,belly_pain,toxic_look_(typhos),diarrhoea,yellow_urine,nausea,fatigue,abdominal_pain,,,,,,,,typhoid
loss_of_appetite,muscle_pain,yellowish_skin,weight_gain,joint_pain,dark_urine,yellowing_of_eyes,mild_fever,nausea,abdominal_pain,vomiting,,,,,,,hepatitis a
loss_of_appetite,muscle_pain,abnormal_menstruation,dark_urine,diarrhoea,yellowing_of_eyes,mild_fever,abdominal_pain,nausea,vomiting,nausea,,,,,,,hepatitis a
obesity,muscle_pain,yellowish_skin,joint_pain,dark_urine,diarrhoea,yellowing_of_eyes,mild_fever,nausea,abdominal_pain,,,,,,,,hepatitis a
loss_of_appetite,muscle_pain,joint_pain,dark_urine,yellowing_of_eyes,mild_fever,abdominal_pain,nausea,vomiting,vomiting,,,,,,,,hepatitis a
loss_of_appetite,obesity,muscle_pain,yellowish_skin,vomiting,joint_pain,diarrhoea,yellowing_of_eyes,mild_fever,abdominal_pain,,,,,,,,hepatitis a
loss_of_appetite,muscle_pain,vomiting,drying_and_tingling_lips,joint_pain,dark_urine,diarrhoea,yellowing_of_eyes,mild_fever,abdominal_pain,,,,,,,,hepatitis a
muscle_pain,yellowish_skin,foul_smell_of_urine,joint_pain,diarrhoea,yellowing_of_eyes,mild_fever,abdominal_pain,nausea,vomiting,fatigue,,,,,,,hepatitis a
loss_of_appetite,muscle_pain,yellowish_skin,dark_urine,diarrhoea,muscle_wasting,yellowing_of_eyes,mild_fever,nausea,vomiting,,,,,,,,hepatitis a
muscle_pain,yellowish_skin,vomiting,lack_of_concentration,joint_pain,dark_urine,yellowing_of_eyes,mild_fever,nausea,abdominal_pain,headache,,,,,,,hepatitis a
loss_of_appetite,slurred_speech,yellowish_skin,lethargy,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,itching,yellow_urine,fatigue,fatigue,,,,,,hepatitis b
loss_of_appetite,yellowish_skin,joint_pain,receiving_blood_transfusion,dark_urine,malaise,receiving_unsterile_injections,yellowing_of_eyes,yellow_urine,fatigue,abdominal_pain,,,,,,,hepatitis b
loss_of_appetite,yellowish_skin,lethargy,yellowing_of_eyes,joint_pain,malaise,dark_urine,receiving_blood_transfusion,itching,yellow_urine,,,,,,,,hepatitis b
yellowish_skin,yellowing_of_eyes,receiving_blood_transfusion,dark_urine,malaise,receiving_unsterile_injections,extra_marital_contacts,itching,yellow_urine,fatigue,abdominal_pain,,,,,,,hepatitis b
lethargy,yellowing_of_eyes,swelled_lymph_nodes,receiving_blood_transfusion,dark_urine,malaise,receiving_unsterile_injections,yellow_urine,fatigue,abdominal_pain,nausea,,,,,,,hepatitis b
loss_of_appetite,yellowish_skin,lethargy,painful_walking,receiving_unsterile_injections,itching,yellowing_of_eyes,yellow_urine,fatigue,abdominal_pain,,,,,,,,hepatitis b
yellowish_skin,lethargy,yellowing_of_eyes,receiving_blood_transfusion,dark_urine,receiving_unsterile_injections,itching,yellow_urine,spotting__urination,fatigue,abdominal_pain,,,,,,,hepatitis b
loss_of_appetite,yellowish_skin,lethargy,malaise,dark_urine,receiving_blood_transfusion,receiving_unsterile_injections,acidity,itching,yellowing_of_eyes,fatigue,,,,,,,hepatitis b
loss_of_appetite,yellowish_skin,lethargy,weakness_of_one_body_side,receiving_blood_transfusion,dark_urine,malaise,receiving_unsterile_injections,itching,yellowing_of_eyes,fatigue,headache,,,,,,hepatitis b
loss_of_appetite,family_history,nausea,fatigue,puffy_face_and_eyes,,,,,,,,,,,,,hepatitis c
yellowish_skin,lethargy,yellowing_of_eyes,family_history,nausea,fatigue,,,,,,,,,,,,hepatitis c
loss_of_appetite,yellowish_skin,phlegm,yellowing_of_eyes,family_history,,,,,,,,,,,,,hepatitis c
loss_of_appetite,shivering,yellowing_of_eyes,family_history,fatigue,fatigue,,,,,,,,,,,,hepatitis c
loss_of_appetite,yellowing_of_eyes,family_history,fatigue,abdominal_pain,,,,,,,,,,,,,hepatitis c
yellowish_skin,yellowing_of_eyes,family_history,cramps,fatigue,headache,,,,,,,,,,,,hepatitis c
abnormal_menstruation,yellowish_skin,yellowing_of_eyes,nausea,fatigue,,,,,,,,,,,,,hepatitis c
loss_of_appetite,yellowish_skin,vomiting,toxic_look_(typhos),joint_pain,dark_urine,nausea,fatigue,abdominal_pain,,,,,,,,,hepatitis d
loss_of_appetite,belly_pain,yellowish_skin,dark_urine,yellowing_of_eyes,nausea,fatigue,vomiting,,,,,,,,,,hepatitis d
loss_of_appetite,joint_pain,receiving_blood_transfusion,dark_urine,yellowing_of_eyes,nausea,fatigue,abdominal_pain,,,,,,,,,,hepatitis d
yellowish_skin,vomiting,indigestion,joint_pain,dark_urine,yellowing_of_eyes,nausea,abdominal_pain,,,,,,,,,,hepatitis d
loss_of_appetite,acute_liver_failure,joint_pain,yellowing_of_eyes,abdominal_pain,nausea,fatigue,vomiting,,,,,,,,,,hepatitis d
loss_of_appetite,yellowish_skin,joint_pain,yellowing_of_eyes,nausea,fatigue,vomiting,fatigue,,,,,,,,,,hepatitis d
loss_of_appetite,yellowish_skin,joint_pain,dark_urine,swelling_of_stomach,yellowing_of_eyes,fatigue,abdominal_pain,,,,,,,,,,hepatitis d
fluid_overload,joint_pain,dark_urine,yellowing_of_eyes,abdominal_pain,nausea,fatigue,vomiting,,,,,,,,,,hepatitis d
loss_of_appetite,abnormal_menstruation,yellowish_skin,joint_pain,dark_urine,nausea,fatigue,vomiting,,,,,,,,,,hepatitis d
loss_of_appetite,yellowish_skin,joint_pain,depression,abdominal_pain,nausea,fatigue,vomiting,,,,,,,,,,hepatitis d
stomach_bleeding,loss_of_appetite,coma,yellowish_skin,joint_pain,dark_urine,high_fever,yellowing_of_eyes,visual_disturbances,nausea,fatigue,abdominal_pain,,,,,,hepatitis e
stomach_bleeding,loss_of_appetite,yellowish_skin,vomiting,acute_liver_failure,joint_pain,dark_urine,high_fever,yellowing_of_eyes,abdominal_pain,nausea,fatigue,coma,headache,,,,hepatitis e
loss_of_appetite,coma,yellowish_skin,sunken_eyes,dark_urine,high_fever,yellowing_of_eyes,abdominal_pain,nausea,fatigue,vomiting,,,,,,,hepatitis e
loss_of_appetite,coma,swollen_legs,yellowish_skin,acute_liver_failure,joint_pain,dark_urine,high_fever,yellowing_of_eyes,nausea,fatigue,abdominal_pain,,,,,,hepatitis e
stomach_bleeding,loss_of_appetite,coma,yellowish_skin,vomiting,weakness_of_one_body_side,dark_urine,high_fever,yellowing_of_eyes,nausea,abdominal_pain,,,,,,,hepatitis e
stomach_bleeding,loss_of_appetite,yellowish_skin,yellow_crust_ooze,acute_liver_failure,joint_pain,dark_urine,yellowing_of_eyes,nausea,fatigue,abdominal_pain,,,,,,,hepatitis e
loss_of_appetite,vomiting,acute_liver_failure,joint_pain,dark_urine,high_fever,yellowing_of_eyes,small_dents_in_nails,abdominal_pain,nausea,fatigue,coma,,,,,,hepatitis e
stomach_bleeding,loss_of_appetite,yellowish_skin,joint_pain,high_fever,yellowing_of_eyes,abdominal_pain,nausea,neck_pain,fatigue,coma,,,,,,,hepatitis e
stomach_bleeding,loss_of_appetite,yellowish_skin,vomiting,acute_liver_failure,joint_pain,dark_urine,high_fever,yellowing_of_eyes,abdominal_pain,fast_heart_rate,coma,,,,,,hepatitis e
yellowish_skin,fluid_overload,history_of_alcohol_consumption,swelling_of_stomach,nausea,distention_of_abdomen,abdominal_pain,headache,,,,,,,,,,alcoholic hepatitis
fluid_overload,yellowish_skin,history_of_alcohol_consumption,depression,swelling_of_stomach,distention_of_abdomen,vomiting,,,,,,,,,,,alcoholic hepatitis
fluid_overload,vomiting,swelling_of_stomach,swollen_blood_vessels,distention_of_abdomen,abdominal_pain,,,,,,,,,,,,alcoholic hepatitis
swollen_legs,yellowish_skin,history_of_alcohol_consumption,swelling_of_stomach,distention_of_abdomen,vomiting,nausea,,,,,,,,,,,alcoholic hepatitis
yellowish_skin,fluid_overload,vomiting,history_of_alcohol_consumption,sweating,abdominal_pain,headache,,,,,,,,,,,alcoholic hepatitis
fluid_overload,yellowish_skin,swelling_of_stomach,abdominal_pain,nausea,vomiting,headache,,,,,,,,,,,alcoholic hepatitis
yellowish_skin,fluid_overload,joint_pain,swelling_of_stomach,distention_of_abdomen,abdominal_pain,,,,,,,,,,,,alcoholic hepatitis
mood_swings,history_of_alcohol_consumption,swelling_of_stomach,abdominal_pain,distention_of_abdomen,vomiting,vomiting,,,,,,,,,,,alcoholic hepatitis
chills,loss_of_appetite,blood_in_sputum,weight_loss,phlegm,chest_pain,breathlessness,swelled_lymph_nodes,malaise,cough,high_fever,yellowing_of_eyes,mild_fever,family_history,fatigue,sweating,headache,tuberculosis
blood_in_sputum,loss_of_appetite,weight_loss,vomiting,phlegm,swelled_lymph_nodes,breathlessness,malaise,cough,yellowing_of_eyes,mild_fever,skin_peeling,fatigue,sweating,,,,tuberculosis
chills,blood_in_sputum,loss_of_appetite,watering_from_eyes,swelled_lymph_nodes,chest_pain,breathlessness,phlegm,cough,malaise,high_fever,yellowing_of_eyes,mild_fever,fatigue,sweating,,,tuberculosis
chills,loss_of_appetite,blood_in_sputum,swelled_lymph_nodes,chest_pain,breathlessness,phlegm,malaise,cough,high_fever,yellowing_of_eyes,mild_fever,enlarged_thyroid,sweating,,,,tuberculosis
chills,loss_of_appetite,blood_in_sputum,phlegm,swelled_lymph_nodes,chest_pain,breathlessness,malaise,cough,high_fever,mild_fever,sweating,vomiting,headache,,,,tuberculosis
chills,blood_in_sputum,weight_loss,vomiting,swelled_lymph_nodes,chest_pain,breathlessness,phlegm,malaise,acute_liver_failure,yellowing_of_eyes,mild_fever,fatigue,sweating,,,,tuberculosis
chills,loss_of_appetite,blood_in_sputum,swollen_legs,phlegm,chest_pain,breathlessness,fatigue,cough,swelled_lymph_nodes,malaise,yellowing_of_eyes,mild_fever,sweating,vomiting,headache,,tuberculosis
chills,blood_in_sputum,loss_of_appetite,weight_loss,phlegm,chest_pain,swelled_lymph_nodes,malaise,cough,yellowing_of_eyes,mild_fever,abdominal_pain,sweating,vomiting,fatigue,,,tuberculosis
chills,blood_in_sputum,weight_loss,swelled_lymph_nodes,chest_pain,breathlessness,phlegm,cough,malaise,high_fever,yellowing_of_eyes,mild_fever,fatigue,vomiting,,,,tuberculosis
chills,swelling_joints,congestion,headache,muscle_pain,throat_irritation,swelled_lymph_nodes,chest_pain,cough,malaise,runny_nose,loss_of_smell,high_fever,continuous_sneezing,fatigue,nausea,,common cold
chills,congestion,headache,muscle_pain,sinus_pressure,throat_irritation,phlegm,chest_pain,swelled_lymph_nodes,redness_of_eyes,malaise,cough,runny_nose,loss_of_smell,high_fever,fatigue,,common cold
muscle_pain,headache,sinus_pressure,throat_irritation,phlegm,redness_of_eyes,swelled_lymph_nodes,malaise,cough,dark_urine,loss_of_smell,high_fever,continuous_sneezing,fatigue,fatigue,,,common cold
chills,muscle_pain,headache,muscle_weakness,sinus_pressure,throat_irritation,phlegm,redness_of_eyes,chest_pain,swelled_lymph_nodes,cough,runny_nose,loss_of_smell,high_fever,continuous_sneezing,,,common cold
chills,muscle_pain,headache,congestion,sinus_pressure,throat_irritation,swelled_lymph_nodes,chest_pain,redness_of_eyes,runny_nose,malaise,palpitations,continuous_sneezing,fatigue,,,,common cold
